sentence,label,target_position,target_word,pos_tag,gloss,eg_sent,bis_def_collins,exps_collins,bis_def_longman,exps_longman,bis_def_oxford_advanced,exps_oxford_advanced
The steering of my new car answers to the slightest touch .,1,6,answer,VERB,Say or write something as a reaction to someone or something.,"‘ Of course I can , ’ she answered","VERB  ; When you answer someone who has asked you something, you say something back to them. ; ","['I knew Ben was lying when he answered me.', 'Just answer the question.', 'He paused before answering.', ""'When?' asked Alba, 'Tonight', answered Tom."", 'Williams answered that he had no specific proposals yet.']"," to say something to someone as a reply when they have asked you a question, made a suggestion etc","['She thought for a moment before answering.', 'He still hadn’t answered my question.', '‘Why don’t you just leave?’ ‘I’d like to, ’ she answered, ‘but I have nowhere else to go.’', 'When questioned, Hughes answered that he knew nothing about the robbery.', 'How much was it? Come on, answer me.']","to say, write or do something as a reaction to a question or situation ","[""I repeated the question, but she didn't answer."", 'He answered as truthfully as he could.', ""You haven't answered my question."", 'to answer a letter/an advertisement', 'to answer the phone (= to pick up the phone when it rings)', 'to answer the door (= to open the door when somebody knocks/rings)', 'My prayers have been answered (= I have got what I wanted).', 'He refused to answer the charges against him.', 'We are grateful to all those people who answered our call for help with fund-raising.', 'Come on, answer me! Where were you?', 'He answered me with a smile.', ""‘I'd prefer to walk,’ she answered."", ""‘I'd prefer to walk,’ she answered him."", 'She answered that she would prefer to walk.', 'Answer me this: how did they know we were here?']"
answer the telephone .,0,0,answer,VERB,Say or write something as a reaction to someone or something.,"‘ Of course I can , ’ she answered","VERB  ; When you answer someone who has asked you something, you say something back to them. ; ","['I knew Ben was lying when he answered me.', 'Just answer the question.', 'He paused before answering.', ""'When?' asked Alba, 'Tonight', answered Tom."", 'Williams answered that he had no specific proposals yet.']"," to say something to someone as a reply when they have asked you a question, made a suggestion etc","['She thought for a moment before answering.', 'He still hadn’t answered my question.', '‘Why don’t you just leave?’ ‘I’d like to, ’ she answered, ‘but I have nowhere else to go.’', 'When questioned, Hughes answered that he knew nothing about the robbery.', 'How much was it? Come on, answer me.']","to say, write or do something as a reaction to a question or situation ","[""I repeated the question, but she didn't answer."", 'He answered as truthfully as he could.', ""You haven't answered my question."", 'to answer a letter/an advertisement', 'to answer the phone (= to pick up the phone when it rings)', 'to answer the door (= to open the door when somebody knocks/rings)', 'My prayers have been answered (= I have got what I wanted).', 'He refused to answer the charges against him.', 'We are grateful to all those people who answered our call for help with fund-raising.', 'Come on, answer me! Where were you?', 'He answered me with a smile.', ""‘I'd prefer to walk,’ she answered."", ""‘I'd prefer to walk,’ she answered him."", 'She answered that she would prefer to walk.', 'Answer me this: how did they know we were here?']"
The question concerning the meaning of life can not be answered .,0,10,answer,VERB,Say or write something as a reaction to someone or something.,"‘ Of course I can , ’ she answered","VERB  ; When you answer someone who has asked you something, you say something back to them. ; ","['I knew Ben was lying when he answered me.', 'Just answer the question.', 'He paused before answering.', ""'When?' asked Alba, 'Tonight', answered Tom."", 'Williams answered that he had no specific proposals yet.']"," to say something to someone as a reply when they have asked you a question, made a suggestion etc","['She thought for a moment before answering.', 'He still hadn’t answered my question.', '‘Why don’t you just leave?’ ‘I’d like to, ’ she answered, ‘but I have nowhere else to go.’', 'When questioned, Hughes answered that he knew nothing about the robbery.', 'How much was it? Come on, answer me.']","to say, write or do something as a reaction to a question or situation ","[""I repeated the question, but she didn't answer."", 'He answered as truthfully as he could.', ""You haven't answered my question."", 'to answer a letter/an advertisement', 'to answer the phone (= to pick up the phone when it rings)', 'to answer the door (= to open the door when somebody knocks/rings)', 'My prayers have been answered (= I have got what I wanted).', 'He refused to answer the charges against him.', 'We are grateful to all those people who answered our call for help with fund-raising.', 'Come on, answer me! Where were you?', 'He answered me with a smile.', ""‘I'd prefer to walk,’ she answered."", ""‘I'd prefer to walk,’ she answered him."", 'She answered that she would prefer to walk.', 'Answer me this: how did they know we were here?']"
The defendant answered to all the charges of the prosecution .,0,2,answer,VERB,Say or write something as a reaction to someone or something.,"‘ Of course I can , ’ she answered","VERB  ; When you answer someone who has asked you something, you say something back to them. ; ","['I knew Ben was lying when he answered me.', 'Just answer the question.', 'He paused before answering.', ""'When?' asked Alba, 'Tonight', answered Tom."", 'Williams answered that he had no specific proposals yet.']"," to say something to someone as a reply when they have asked you a question, made a suggestion etc","['She thought for a moment before answering.', 'He still hadn’t answered my question.', '‘Why don’t you just leave?’ ‘I’d like to, ’ she answered, ‘but I have nowhere else to go.’', 'When questioned, Hughes answered that he knew nothing about the robbery.', 'How much was it? Come on, answer me.']","to say, write or do something as a reaction to a question or situation ","[""I repeated the question, but she didn't answer."", 'He answered as truthfully as he could.', ""You haven't answered my question."", 'to answer a letter/an advertisement', 'to answer the phone (= to pick up the phone when it rings)', 'to answer the door (= to open the door when somebody knocks/rings)', 'My prayers have been answered (= I have got what I wanted).', 'He refused to answer the charges against him.', 'We are grateful to all those people who answered our call for help with fund-raising.', 'Come on, answer me! Where were you?', 'He answered me with a smile.', ""‘I'd prefer to walk,’ she answered."", ""‘I'd prefer to walk,’ she answered him."", 'She answered that she would prefer to walk.', 'Answer me this: how did they know we were here?']"
We ascended the mountain .,0,1,ascend,VERB,Go up or climb.,she ascended the stairs,"If you ascend a hill or staircase, you go up it.  [written] [Also VERB]","[""Mrs Clayton had to hold Lizzie's hand as they ascended the steps."", 'Then we ascend steeply through forests of rhododendron.']", to move up through the air,['The plane ascended rapidly.'],to rise; to go up; to climb up,"['The path started to ascend more steeply.', 'The air became colder as we ascended.', 'The results, ranked in ascending order (= from the lowest to the highest) are as follows:', 'Practise your scales ascending and descending.', 'The road ascends steeply from the harbour.', 'Mist ascended from the valley.', 'He ascended to the peak of sporting achievement.', 'Her heart was thumping as she ascended the stairs.', 'to ascend the throne (= become king or queen)']"
Inheritance may not ascend linearly .,1,3,ascend,VERB,Go up or climb.,she ascended the stairs,"If you ascend a hill or staircase, you go up it.  [written] [Also VERB]","[""Mrs Clayton had to hold Lizzie's hand as they ascended the steps."", 'Then we ascend steeply through forests of rhododendron.']", to move up through the air,['The plane ascended rapidly.'],to rise; to go up; to climb up,"['The path started to ascend more steeply.', 'The air became colder as we ascended.', 'The results, ranked in ascending order (= from the lowest to the highest) are as follows:', 'Practise your scales ascending and descending.', 'The road ascends steeply from the harbour.', 'Mist ascended from the valley.', 'He ascended to the peak of sporting achievement.', 'Her heart was thumping as she ascended the stairs.', 'to ascend the throne (= become king or queen)']"
The path ascended to the top of the hill .,0,2,ascend,VERB,Go up or climb.,she ascended the stairs,"If you ascend a hill or staircase, you go up it.  [written] [Also VERB]","[""Mrs Clayton had to hold Lizzie's hand as they ascended the steps."", 'Then we ascend steeply through forests of rhododendron.']", to move up through the air,['The plane ascended rapidly.'],to rise; to go up; to climb up,"['The path started to ascend more steeply.', 'The air became colder as we ascended.', 'The results, ranked in ascending order (= from the lowest to the highest) are as follows:', 'Practise your scales ascending and descending.', 'The road ascends steeply from the harbour.', 'Mist ascended from the valley.', 'He ascended to the peak of sporting achievement.', 'Her heart was thumping as she ascended the stairs.', 'to ascend the throne (= become king or queen)']"
"Hitler attacked Poland on September 1 , 1939 and started World War II .",0,1,attack,VERB,Take aggressive military action against (a place or enemy forces) with weapons or armed force.,in February the Germans attacked Verdun,To attack a person or place means to try to hurt or damage them using physical violence.,"['Fifty civilians in Masawa were killed when government planes attacked the town.', 'He bundled the old lady into her hallway and brutally attacked her.', 'While Haig and Foch argued, the Germans attacked.', 'The infantry would use hit and run tactics to slow attacking forces.']", to deliberately use violence to hurt a person or damage a place,"['She was attacked while walking home late at night.', 'His shop was attacked by a gang of youths.', 'Snakes will only attack if you disturb them.', 'He needed 200 stitches after being attacked with a broken bottle.']",to use violence to try to hurt or kill somebody,"['Most dogs will not attack unless provoked.', 'A woman was attacked and robbed by a gang of youths.', 'The man attacked him with a knife.']"
The editors of the left - leaning paper attacked the new House Speaker .,1,8,attack,VERB,Take aggressive military action against (a place or enemy forces) with weapons or armed force.,in February the Germans attacked Verdun,To attack a person or place means to try to hurt or damage them using physical violence.,"['Fifty civilians in Masawa were killed when government planes attacked the town.', 'He bundled the old lady into her hallway and brutally attacked her.', 'While Haig and Foch argued, the Germans attacked.', 'The infantry would use hit and run tactics to slow attacking forces.']", to deliberately use violence to hurt a person or damage a place,"['She was attacked while walking home late at night.', 'His shop was attacked by a gang of youths.', 'Snakes will only attack if you disturb them.', 'He needed 200 stitches after being attacked with a broken bottle.']",to use violence to try to hurt or kill somebody,"['Most dogs will not attack unless provoked.', 'A woman was attacked and robbed by a gang of youths.', 'The man attacked him with a knife.']"
The Serbs attacked the village at night .,0,2,attack,VERB,Take aggressive military action against (a place or enemy forces) with weapons or armed force.,in February the Germans attacked Verdun,To attack a person or place means to try to hurt or damage them using physical violence.,"['Fifty civilians in Masawa were killed when government planes attacked the town.', 'He bundled the old lady into her hallway and brutally attacked her.', 'While Haig and Foch argued, the Germans attacked.', 'The infantry would use hit and run tactics to slow attacking forces.']", to deliberately use violence to hurt a person or damage a place,"['She was attacked while walking home late at night.', 'His shop was attacked by a gang of youths.', 'Snakes will only attack if you disturb them.', 'He needed 200 stitches after being attacked with a broken bottle.']",to use violence to try to hurt or kill somebody,"['Most dogs will not attack unless provoked.', 'A woman was attacked and robbed by a gang of youths.', 'The man attacked him with a knife.']"
I attacked the problem as soon as I got out of bed .,1,1,attack,VERB,Take aggressive military action against (a place or enemy forces) with weapons or armed force.,in February the Germans attacked Verdun,To attack a person or place means to try to hurt or damage them using physical violence.,"['Fifty civilians in Masawa were killed when government planes attacked the town.', 'He bundled the old lady into her hallway and brutally attacked her.', 'While Haig and Foch argued, the Germans attacked.', 'The infantry would use hit and run tactics to slow attacking forces.']", to deliberately use violence to hurt a person or damage a place,"['She was attacked while walking home late at night.', 'His shop was attacked by a gang of youths.', 'Snakes will only attack if you disturb them.', 'He needed 200 stitches after being attacked with a broken bottle.']",to use violence to try to hurt or kill somebody,"['Most dogs will not attack unless provoked.', 'A woman was attacked and robbed by a gang of youths.', 'The man attacked him with a knife.']"
The cancer cells are attacking his liver .,1,4,attack,VERB,Take aggressive military action against (a place or enemy forces) with weapons or armed force.,in February the Germans attacked Verdun,To attack a person or place means to try to hurt or damage them using physical violence.,"['Fifty civilians in Masawa were killed when government planes attacked the town.', 'He bundled the old lady into her hallway and brutally attacked her.', 'While Haig and Foch argued, the Germans attacked.', 'The infantry would use hit and run tactics to slow attacking forces.']", to deliberately use violence to hurt a person or damage a place,"['She was attacked while walking home late at night.', 'His shop was attacked by a gang of youths.', 'Snakes will only attack if you disturb them.', 'He needed 200 stitches after being attacked with a broken bottle.']",to use violence to try to hurt or kill somebody,"['Most dogs will not attack unless provoked.', 'A woman was attacked and robbed by a gang of youths.', 'The man attacked him with a knife.']"
The Turks besieged Vienna .,0,2,besiege,VERB,Surround (a place) with armed forces in order to capture it or force its surrender.,the king marched north to besiege Berwick,"VERB  [usually passive]  If you are besieged by people, many people want something from you and continually bother you.  ",['She was besieged by the press and the public.'],to surround a city or castle with military force until the people inside let you take control,"['In April 655, Osman’s palace was besieged by rebels.']","to surround a building, city, etc. with soldiers until the people inside are forced to let you in ","['Paris was besieged for four months and forced to surrender.', 'Fans besieged the box office to try and get tickets for the concert.']"
She was besieged by so many problems that she got discouraged .,1,2,besiege,VERB,Surround (a place) with armed forces in order to capture it or force its surrender.,the king marched north to besiege Berwick,"VERB  [usually passive]  If you are besieged by people, many people want something from you and continually bother you.  ",['She was besieged by the press and the public.'],to surround a city or castle with military force until the people inside let you take control,"['In April 655, Osman’s palace was besieged by rebels.']","to surround a building, city, etc. with soldiers until the people inside are forced to let you in ","['Paris was besieged for four months and forced to surrender.', 'Fans besieged the box office to try and get tickets for the concert.']"
The press photographers besieged the movie star .,1,3,besiege,VERB,Surround (a place) with armed forces in order to capture it or force its surrender.,the king marched north to besiege Berwick,"VERB  [usually passive]  If you are besieged by people, many people want something from you and continually bother you.  ",['She was besieged by the press and the public.'],to surround a city or castle with military force until the people inside let you take control,"['In April 655, Osman’s palace was besieged by rebels.']","to surround a building, city, etc. with soldiers until the people inside are forced to let you in ","['Paris was besieged for four months and forced to surrender.', 'Fans besieged the box office to try and get tickets for the concert.']"
The Chinese would bind the feet of their women .,0,3,bind,VERB,Tie or fasten (something) tightly together.,they bound her hands and feet,"If something binds people together, it makes them feel as if they are all part of the same group or have something in common.  [Also VERB n]","['It is the memory and threat of persecution that binds them together.', '...the social and political ties that bind the USA to Britain.', '...a group of people bound together by shared language, culture, and beliefs.']",to tie someone so that they cannot move or escape,['They bound my arms and legs with rope.'],"to tie somebody/something with rope, string, etc. so that they/it cannot move or are held together firmly","['She was bound to a chair.', 'They bound his hands together.', 'He was left bound and gagged (= tied up and with a piece of cloth tied over his mouth).']"
They bind their books in leather .,0,1,bind,VERB,Tie or fasten (something) tightly together.,they bound her hands and feet,"If something binds people together, it makes them feel as if they are all part of the same group or have something in common.  [Also VERB n]","['It is the memory and threat of persecution that binds them together.', '...the social and political ties that bind the USA to Britain.', '...a group of people bound together by shared language, culture, and beliefs.']",to tie someone so that they cannot move or escape,['They bound my arms and legs with rope.'],"to tie somebody/something with rope, string, etc. so that they/it cannot move or are held together firmly","['She was bound to a chair.', 'They bound his hands together.', 'He was left bound and gagged (= tied up and with a piece of cloth tied over his mouth).']"
The hydrogen binds the oxygen .,1,2,bind,VERB,Tie or fasten (something) tightly together.,they bound her hands and feet,"If something binds people together, it makes them feel as if they are all part of the same group or have something in common.  [Also VERB n]","['It is the memory and threat of persecution that binds them together.', '...the social and political ties that bind the USA to Britain.', '...a group of people bound together by shared language, culture, and beliefs.']",to tie someone so that they cannot move or escape,['They bound my arms and legs with rope.'],"to tie somebody/something with rope, string, etc. so that they/it cannot move or are held together firmly","['She was bound to a chair.', 'They bound his hands together.', 'He was left bound and gagged (= tied up and with a piece of cloth tied over his mouth).']"
Meteors blazed across the atmosphere .,1,1,blaze,VERB,Burn fiercely or brightly.,plumes of smoke rose from fires blazing around the city,"When a fire blazes, it burns strongly and brightly.","['Three people died as wreckage blazed, and rescuers fought to release trapped drivers.', 'The log fire was blazing merrily.', '...a blazing fire.']", to burn very brightly and strongly,"['The room was warm, with a fire blazing in the hearth.']",to burn brightly and strongly,"['A huge fire was blazing in the fireplace.', 'Within minutes the whole building was blazing.', 'He rushed back into the blazing house.']"
The summer sun alone can cause a pine to blaze .,0,9,blaze,VERB,Burn fiercely or brightly.,plumes of smoke rose from fires blazing around the city,"When a fire blazes, it burns strongly and brightly.","['Three people died as wreckage blazed, and rescuers fought to release trapped drivers.', 'The log fire was blazing merrily.', '...a blazing fire.']", to burn very brightly and strongly,"['The room was warm, with a fire blazing in the hearth.']",to burn brightly and strongly,"['A huge fire was blazing in the fireplace.', 'Within minutes the whole building was blazing.', 'He rushed back into the blazing house.']"
The spaceship blazed out into space .,1,2,blaze,VERB,Burn fiercely or brightly.,plumes of smoke rose from fires blazing around the city,"When a fire blazes, it burns strongly and brightly.","['Three people died as wreckage blazed, and rescuers fought to release trapped drivers.', 'The log fire was blazing merrily.', '...a blazing fire.']", to burn very brightly and strongly,"['The room was warm, with a fire blazing in the hearth.']",to burn brightly and strongly,"['A huge fire was blazing in the fireplace.', 'Within minutes the whole building was blazing.', 'He rushed back into the blazing house.']"
Her feet blistered during the long hike .,0,2,blister,VERB,Form blisters on the skin or other surface.,the surface of the door began to blister,"When your skin blisters or when something blisters it, blisters appear on it.","['The affected skin turns red and may blister.', 'The sap of this plant blisters the skin.', '...pausing to bathe their blistered feet.']","to develop blisters, or make blisters form","['The paint will blister in the heat.', 'My hands were blistered from all the digging.']",to form blisters; to make something form blisters,"['His skin was beginning to blister.', 'Her face had been blistered by the sun.']"
The Senator blistered the administration in his speech on Friday .,1,2,blister,VERB,Form blisters on the skin or other surface.,the surface of the door began to blister,"When your skin blisters or when something blisters it, blisters appear on it.","['The affected skin turns red and may blister.', 'The sap of this plant blisters the skin.', '...pausing to bathe their blistered feet.']","to develop blisters, or make blisters form","['The paint will blister in the heat.', 'My hands were blistered from all the digging.']",to form blisters; to make something form blisters,"['His skin was beginning to blister.', 'Her face had been blistered by the sun.']"
